code,report_year,roe,roe_diluted,eps,bvps,net_profit,net_profit_yoy,revenue_yoy,ocfps,gross_margin,asset_liability_ratio,roe_std_3y,prev_eps,prev_revenue_yoy
002029,2024,4.38,4.33,0.41,9.32,285000000.0,5.35,-8.84,0.35,10.33,38.0,0.8165510122188053,0.38,6.7
002056,2024,19.41,18.12,1.1335,6.2,1827000000.0,0.46,-5.95,2.17,9.85,57.58,1.6189777295839765,1.1277,1.39
002061,2024,8.94,8.63,0.5,5.84,1310000000.0,-2.78,3.75,0.42,2.94,78.18,2.026036086110566,0.52,-1.16
002074,2024,4.77,4.65,0.68,14.41,1207000000.0,28.56,11.98,1.5,3.26,72.28,1.306658163237637,0.53,37.11
002091,2024,7.13,7.05,0.68,9.38,1106000000.0,-31.06,4.76,1.04,4.81,51.41,2.7964898633028437,0.99,-13.18
002110,2024,-6.44,-6.66,-0.53,7.89,-1277000000.0,-91.21,-3.93,0.91,-2.75,62.49,2.8896635713445185,-0.27,-7.2
002128,2024,16.36,15.44,2.38,15.44,5342000000.0,17.15,11.23,3.55,19.66,25.3,0.9064215354899728,2.11,0.2
002142,2024,13.59,12.53,3.95,31.55,27127000000.0,6.23,8.19,12.87,40.85,92.5,0.8387424449071892,3.75,6.4
002155,2024,12.53,12.26,0.7,5.74,847000000.0000001,73.08,19.46,0.74,3.08,14.93,2.1619589882018264,0.41,10.75
002171,2024,3.58,3.04,0.18,4.97,229999999.99999997,-56.57,16.06,-0.44,0.53,57.13,2.6613446893545296,0.4,14.08
002202,2024,4.91,4.83,0.4206,8.65,1860000000.0000002,39.78,12.37,0.55,3.27,73.96,1.1961698132883232,0.2879,8.66
002204,2024,6.89,6.79,0.2591,3.79,498000000.00000006,37.12,18.97,0.3,3.49,72.16,1.0590037246813102,0.188,15.89
002215,2024,15.36,15.26,0.5869,3.81,585000000.0,148.1,28.37,1.3,10.61,63.68,3.683920013608692,0.2409,-3.41
002237,2024,5.67,5.45,0.47,8.17,537000000.0,4.07,15.59,0.36,0.68,60.63,0.22661764175711369,0.45,31.03
